"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","reject_missing_infiniband_fabric_for_multiple_racks","","","skipped","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","2475","k8s_node_groups_training_kuberay_apply","","","broken","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
"","","valid_one_rack_production_configuration","","","skipped","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","","reject_fractional_rack_count","","","skipped","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","","reject_missing_rollout_strategy","","","skipped","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","","reject_nonzero_surge","","","skipped","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","637272","k8s_training_apply","","","passed","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","","test_mode_k8s_training_apply","","","skipped","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","1129","valid_two_rack_production_configuration","","","broken","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","697139","k8s_training_kuberay_apply","","","passed","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
"","2470","k8s_node_groups_training_apply","","","broken","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","","full_training_apply","","","skipped","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","","full_training_kuberay_apply","","","skipped","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
